train/n_updates,train/loss,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
26269207,0.00030548928771167994,35308.8,0.3077825136612022,26270208,6.196229614924864e-05,433,60567,-11538584.407100251,744,,
26412055,0.0005702186026610434,35308.8,0.3051060109289618,26413056,6.18098371328552e-05,433,60869,-11242640.479026908,748,,
26552599,0.00013659751857630908,35308.8,0.30247267759562857,26553600,6.16598371328552e-05,434,61166,-11124038.23300653,752,,
26694295,0.0007277284748852253,35308.8,0.2998177595628415,26695296,6.150860762465848e-05,434,61466,-11397372.07741875,756,,
26833687,0.00034021801548078656,35308.8,0.2972060109289617,26834688,6.13598371328552e-05,434,61762,-11566049.81296371,760,,
26975383,0.00014790725253988057,35308.8,0.294551092896175,26976384,6.120860762465848e-05,434,62061,-11460953.989753671,764,,
27118231,0.00034018285805359483,35308.8,0.29187459016393436,27119232,6.105614860826502e-05,434,62362,-11392582.922648875,768,,
27258775,0.0011378107592463493,35308.8,0.2892412568306011,27259776,6.0906148608265026e-05,435,62660,-11666289.26940735,772,,
27400471,0.0009099041926674545,35308.8,0.28658633879781414,27401472,6.0754919100068305e-05,435,62959,-11489222.313804472,776,,
27539863,0.001089249039068818,35308.8,0.28397459016393456,27540864,6.060614860826504e-05,435,63253,-11432356.86121966,780,,
27681559,0.0002832760801538825,35308.8,0.2813196721311475,27682560,6.045491910006831e-05,435,63552,-11628359.114572931,784,,
27824407,0.0001858756731962785,35308.8,0.2786431693989071,27825408,6.0302460083674866e-05,435,63854,-11994146.65562767,788,,
27964951,0.0003745740687008947,35308.8,0.2760098360655737,27965952,6.015246008367486e-05,435,64151,-11872459.904578641,792,,
28106647,0.0002100811107084155,35308.8,0.2733549180327869,28107648,6.000123057547815e-05,436,64451,-11707205.986813111,796,,
28246039,0.000653106311801821,35308.8,0.2707431693989071,28247040,5.985246008367487e-05,436,64749,-12031063.29996407,800,,
28387735,0.00044536477071233094,35308.8,0.26808825136612024,28388736,5.970123057547814e-05,436,65051,-12162572.40576645,804,,
28530583,0.0012588626705110073,35308.8,0.26541174863387984,28531584,5.954877155908471e-05,436,65353,-12366657.15151895,808,,
28671127,0.0015076822601258755,35308.8,0.26277841530054646,28672128,5.9398771559084705e-05,436,65650,-12363113.044339249,812,,
28812823,0.0002569649077486247,35308.8,0.26012349726775963,28813824,5.924754205088799e-05,436,65951,-12040065.141697166,816,,
28952215,0.00015951522800605744,35308.8,0.2575117486338797,28953216,5.90987715590847e-05,437,66246,-12002825.265058875,820,,
29093911,0.0006486152997240424,35308.8,0.2548568306010929,29094912,5.8947542050887984e-05,437,66549,-11990951.809535362,824,,
29236759,0.00033826366416178644,35308.8,0.25218032786885247,29237760,5.879508303449454e-05,437,66853,-11662474.44256013,828,,
29377303,0.0006411775248125196,35308.8,0.2495469945355192,29378304,5.864508303449455e-05,437,67153,-11810506.177989243,832,,
29518999,0.0010431380942463875,35308.8,0.24689207650273226,29520000,5.849385352629782e-05,437,67453,-11410601.34690954,836,,
29658391,0.0003797318786382675,35308.8,0.24428032786885245,29659392,5.834508303449454e-05,437,67749,-11764661.957023442,840,,
29800087,0.00030751811573281884,35308.8,0.24162540983606562,29801088,5.819385352629782e-05,437,68050,-11576338.11911406,844,,
29942935,0.0025998088531196117,35308.8,0.238948907103825,29943936,5.804139450990437e-05,438,68353,-11891221.653891884,848,,
30083479,0.0002784296520985663,35308.8,0.23631557377049184,30084480,5.789139450990438e-05,438,68651,-11857480.422945537,852,,
30225175,0.0009714000625535846,35308.8,0.23366065573770478,30226176,5.774016500170765e-05,438,68952,-11629004.393745601,856,,
30364567,0.0005829778965562582,35308.8,0.2310489071038252,30365568,5.759139450990438e-05,438,69249,-11467465.431058481,860,,
30506263,0.00046938328887335956,35308.8,0.22839398907103836,30507264,5.7440165001707656e-05,438,69550,-11422927.59418338,864,,
30649111,0.00022191580501385033,35308.8,0.22571748633879785,30650112,5.728770598531421e-05,438,69855,-11363520.209019791,868,,
30789655,0.0005033175111748278,35308.8,0.22308415300546436,30790656,5.713770598531421e-05,438,70157,-11133441.929382868,872,,
30931351,0.0003229037392884493,35308.8,0.22042923497267763,30932352,5.698647647711749e-05,438,70462,-11204575.1700599,876,,
31070743,7.968924182932824e-05,35308.8,0.21781748633879794,31071744,5.683770598531421e-05,439,70761,-11087634.32467349,880,,
31212439,0.0002346294349990785,35308.8,0.215162568306011,31213440,5.6686476477117485e-05,439,71064,-11040773.295576641,884,,
31355287,0.00020811916328966618,35308.8,0.2124860655737706,31356288,5.6534017460724054e-05,439,71369,-10534443.766848229,888,,
31495831,0.0003607795515563339,35308.8,0.2098527322404372,31496832,5.638401746072405e-05,439,71668,-10561621.997833991,892,,
31637527,0.0007967305718921125,35308.8,0.20719781420765038,31638528,5.623278795252733e-05,439,71969,-10626977.929782879,896,,
31776919,0.00012048694770783186,35308.8,0.20458606557377057,31777920,5.608401746072404e-05,439,72269,-10307224.2269035,900,,
31918615,0.0003844203311018646,35308.8,0.2019311475409835,31919616,5.593278795252732e-05,439,72576,-10275175.95647826,904,,
32061463,0.0005019312957301736,35308.8,0.19925464480874333,32062464,5.578032893613388e-05,439,72882,-10208203.99098657,908,,
32202007,0.0014079209649935365,35308.8,0.19662131147540995,32203008,5.5630328936133886e-05,440,73182,-10417498.68289155,912,,
32343703,0.00021675432799383998,35308.8,0.1939663934426229,32344704,5.5479099427937165e-05,440,73483,-10570852.253488619,916,,
32483095,0.0002075014781439677,35308.8,0.1913546448087431,32484096,5.5330328936133886e-05,440,73782,-10628752.653210727,920,,
32624791,0.00043977287714369595,35308.8,0.18869972677595637,32625792,5.5179099427937165e-05,440,74084,-10483461.084880037,924,,
32767639,0.0006431509391404688,35308.8,0.18602322404371585,32768640,5.502664041154371e-05,440,74389,-10526746.668524051,928,,
32908183,0.00035496862255968153,35308.8,0.18338989071038247,32909184,5.487664041154372e-05,440,74692,-10299889.58117274,932,,
33049879,0.00028921494958922267,35308.8,0.18073497267759564,33050880,5.4725410903346994e-05,440,74995,-10431346.13957702,936,,
33189271,0.0008770698914304376,35308.8,0.17812322404371594,33190272,5.457664041154372e-05,440,75297,-10255864.042186558,940,,
33330967,0.0006151743582449853,35308.8,0.1754683060109291,33331968,5.4425410903346994e-05,440,75604,-10129903.242710069,944,,
33473815,0.00035484234103932977,35308.8,0.17279180327868848,33474816,5.4272951886953555e-05,440,75915,-10181651.239805099,948,,
33614359,0.0008563277660869062,35308.8,0.1701584699453551,33615360,5.412295188695355e-05,441,76218,-10364585.62344696,952,,
33756055,0.0010109520517289639,35308.8,0.16750355191256827,33757056,5.397172237875683e-05,441,76524,-10200958.42042562,956,,
33895447,0.0019040596671402454,35308.8,0.1648918032786887,33896448,5.382295188695355e-05,441,76825,-10255061.14504385,960,,
34037143,0.0008846268756315112,35308.8,0.16223688524590163,34038144,5.367172237875682e-05,441,77131,-10290741.198396469,964,,
34179991,0.0006117669981904328,35308.8,0.15956038251366123,34180992,5.35192633623634e-05,441,77439,-10033718.83813698,968,,
34320535,0.0013551285956054926,35308.8,0.15692704918032785,34321536,5.3369263362363395e-05,441,77748,-10080550.5214264,972,,
34462231,0.0002826289855875075,35308.8,0.15427213114754101,34463232,5.3218033854166674e-05,441,78056,-9830601.30546991,976,,
34601623,6.429984205169603e-05,35308.8,0.1516603825136612,34602624,5.306926336236339e-05,441,78361,-9842357.974266928,980,,
34743319,0.00018132416880689561,35308.8,0.14900546448087426,34744320,5.2918033854166666e-05,441,78671,-9841980.19745457,984,,
34886167,0.00016710752970539033,35308.8,0.14632896174863397,34887168,5.276557483777323e-05,441,78980,-10172703.35249457,988,,
35026711,0.0007101183873601258,35308.8,0.1436956284153006,35027712,5.261557483777323e-05,441,79287,-10415951.591076529,992,,
35168407,0.002112181857228279,35308.8,0.14104071038251376,35169408,5.24643453295765e-05,441,79595,-10236761.365907408,996,,
35307799,0.00017321770428679883,35308.8,0.13842896174863384,35308800,5.2315574837773224e-05,441,79900,-10082038.31543295,1000,,
35449495,0.0002701310731936246,35308.8,0.135774043715847,35450496,5.216434532957651e-05,441,80210,-10278502.18491687,1004,,
35592343,0.0005308387335389853,35308.8,0.1330975409836066,35593344,5.201188631318306e-05,442,80520,-10096845.37896463,1008,,
35732887,0.0013419982278719544,35308.8,0.13046420765027333,35733888,5.186188631318306e-05,442,80825,-9886889.08263658,1012,,
35874583,0.00048470738693140447,35308.8,0.1278092896174864,35875584,5.171065680498633e-05,442,81132,-9697526.43872061,1016,,
36013975,0.00023186480393633246,35308.8,0.12519754098360658,36014976,5.1561886313183067e-05,442,81438,-9532251.53210649,1020,,
36155671,0.00014637925778515637,35308.8,0.12254262295081975,36156672,5.1410656804986345e-05,442,81746,-9651823.39710512,1024,,
36298519,0.0005535323871299624,35308.8,0.11986612021857912,36299520,5.12581977885929e-05,442,82060,-9824074.267654559,1028,,
36439063,0.0002537192776799202,35308.8,0.11723278688524597,36440064,5.1108197788592897e-05,442,82369,-9751945.51471481,1032,,
36580759,0.00012987588706891984,35308.8,0.11457786885245891,36581760,5.0956968280396175e-05,442,82679,-9729282.22743459,1036,,
