#{"t_start": 1769525024.005136, "env_id": "None"}
r,l,t
-15166178.986697,34560,7243.380794
-22779696.11069,34560,7314.327999
-2962022.596803,35712,7387.808012
-17372318.133053,34560,7458.725632
-16531643.067852,35712,7532.184489
-13695966.013817,35712,7605.355855
-12393653.793517,35712,7678.501949
-15479416.689043,35712,7751.640755
-20455824.607267,35712,7824.91576
-5111396.520108,35712,7897.825169
-26903226.863346,35712,7972.356194
-34432945.373456,34560,8052.658403
-18162955.164879,35712,8125.989968
-15554845.303906,35712,8199.515288
-13565230.240695,34560,8270.379414
-24780902.058038,34560,8341.167894
-10644075.406701,35712,8414.838973
-11729921.937374,35712,8489.336134
-11814104.498322,35712,8564.880587
-9990415.905949,34560,8637.46022
-15670890.264671,34560,8710.223464
-21829161.221837,34560,8782.705936
-10399302.925973,35712,8857.650466
-7747166.604384,34560,8929.443014
-22821097.697919,35712,9003.117268
-8930749.642526,35712,9076.558769
-15987658.367512,35712,9149.789092
-12678519.989896,35712,9223.385332
-13338092.857225,35712,9297.138552
-4055635.764247,35712,9370.592785
-12738226.851587,35712,9444.171006
-12567657.040428,34560,9515.722471
-15861700.547209,35712,9589.388357
-10558389.597472,35712,9663.442222
-14343384.266135,34560,9734.32645
-10994421.553069,34560,9806.034174
-19941439.292315,35712,9879.717835
-7991565.035072,35712,9953.314266
-15839775.292569,35712,10027.061212
-10855483.490902,34560,10098.695921
-13623026.88395,34560,10169.976803
-19304963.977777,34560,10241.500304
-24299150.283137,35712,10315.109277
-5799138.985207,34560,10387.026982
-7016085.838508,35712,10460.706022
-27983471.541127,35712,10535.212851
-11490796.517833,35712,10609.276447
-7396845.927918,35712,10682.6422
-35467453.281836,35712,10756.458941
-11927760.887926,35712,10830.094808
-27203679.023043,35712,10903.987355
-13683727.977223,34560,10975.423395
-34582850.777308,35712,11049.447045
-9498950.549288,35712,11123.264465
-7403179.315278,34560,11194.648461
-14910861.020282,34560,11267.169174
-9178489.51491,35712,11342.526311
-6313836.001926,35712,11415.849682
-15813297.832811,35712,11489.208643
-16210727.005076,34560,11561.037606
-7027132.342487,34560,11632.291361
-12497014.854421,34560,11703.754656
-27336979.317315,35712,11777.275161
-23780929.80064,34560,11848.681158
-7436422.931331,35712,11928.375168
-11126406.70809,35712,12001.594672
-16868503.853957,35712,12074.93909
-17988172.457401,35712,12148.452076
-9042289.782944,35712,12221.980051
-7841311.358366,35712,12296.109923
-9021087.717968,35712,12369.519725
-20443425.727338,34560,12441.040491
-20529366.689679,35712,12514.468872
-17546512.62979,35712,12588.263133
-9407801.825102,34560,12659.215028
-9568304.988989,34560,12730.344608
-10122695.84347,35712,12803.921415
