#{"t_start": 1767930881.8028767, "env_id": "None"}
r,l,t
-11170054.321984,8784,36801.743564
-13472707.406354,8784,36817.944988
-53824949.364733,8784,36834.135973
-57323664.701135,8784,36850.265681
-38948177.341899,8784,36866.426813
-28232652.475837,8784,36882.524183
-55272405.129477,8784,36898.680647
-57402539.839408,8784,36914.826114
-47265755.492817,8784,36930.970028
-83772903.3639,8784,36989.335033
-12453814.544413,8784,37005.533832
-47907361.371959,8784,37021.659457
-39256042.675345,8784,37037.821694
-11180424.869202,8784,37053.979825
-8782314.794015,8784,37070.153412
-17301254.950337,8784,37086.33712
-37318623.252883,8784,37102.566253
-10861223.731179,8784,37118.769061
-35476904.655177,8784,37134.923307
-36783591.079972,8784,37151.082776
-13575969.219165,8784,37167.261872
-43228554.791088,8784,37183.413679
-32920498.308078,8784,37199.535674
-10759692.763469,8784,37215.678209
-19139257.863265,8784,37231.846801
-10854156.533423,8784,37247.995617
-47819076.752566,8784,37264.167337
-84225772.38986,8784,37280.345296
-25904273.968829,8784,37296.521888
-15701995.724604,8784,37312.758568
-12155273.400818,8784,37328.910203
-15771004.455464,8784,37345.08653
-14080809.363528,8784,37361.248653
-35197119.60593,8784,37377.469711
-101651099.73234,8784,37393.747469
-69841195.227756,8784,37409.97428
-57180756.961,8784,37426.120703
-37774201.798221,8784,37442.292752
-34432380.531907,8784,37458.399534
-8824016.684944,8784,37474.549613
-25451005.814469,8784,37491.606258
-41402452.013706,8784,37507.739852
-74187585.840219,8784,37523.925713
-19384063.147977,8784,37540.095039
-17883548.767184,8784,37556.306846
-15146600.733481,8784,37572.488404
-73406321.914183,8784,37588.703654
-58322759.23467,8784,37605.024541
-6648088.500357,8784,37621.210172
-11984478.626513,8784,37637.393629
-12490186.857847,8784,37653.599766
-35275023.253384,8784,37669.820158
-11729869.890688,8784,37686.062133
-11980142.123478,8784,37702.220661
-32764502.141798,8784,37718.34214
-18498307.01941,8784,37734.431132
-53224461.516721,8784,37750.572964
-30141762.694394,8784,37766.756967
-31352225.773391,8784,37782.912801
-5733637.399345,8784,37841.365571
-27607688.434104,8784,37857.545037
-24934920.628125,8784,37873.796386
-61063730.103045,8784,37890.013898
-37255704.841545,8784,37906.189313
-58220239.400597,8784,37922.448553
-7821480.546836,8784,37938.639568
-34438275.098174,8784,37954.879223
-36173626.217231,8784,37971.113217
-21844844.905564,8784,37987.350945
-89855807.311888,8784,38003.650536
-9598133.635298,8784,38019.877974
-20229601.985292,8784,38036.042416
