train/n_updates,time/total_timesteps,time/time_elapsed,train/learning_rate,time/fps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
51859720,51860736,104505,5.2400045537340615e-05,496,5.974410544240527e-06,0.1,-10386367.48742832,8784.0,5904,,
51894860,51895872,104576,5.230003415300546e-05,496,5.749642457431037e-06,0.1,-10376838.4512034,8784.0,5908,,
51930000,51931008,104648,5.2200022768670306e-05,496,5.22897076962181e-06,0.1,-10438817.41178879,8784.0,5912,,
51965140,51966144,104720,5.210001138433516e-05,496,5.5954719300643775e-06,0.1,-10502316.61053663,8784.0,5916,,
52000260,52001280,104791,5.200005692167578e-05,496,7.987647927620856e-06,0.1,-10731427.410317939,8784.0,5920,,
52035400,52036416,104862,5.190004553734062e-05,496,6.780316812182718e-06,0.1,-10599806.24171144,8784.0,5924,,
52070540,52071552,104933,5.1800034153005475e-05,496,7.057095422169368e-06,0.1,-10485594.587990401,8784.0,5928,,
52105680,52106688,105005,5.170002276867032e-05,496,8.001901233001262e-06,0.1,-10546119.13117584,8784.0,5932,,
52140820,52141824,105076,5.1600011384335166e-05,496,5.711477808745258e-06,0.1,-10454875.21841566,8784.0,5936,,
52175940,52176960,105147,5.1500056921675765e-05,496,5.6861338634917045e-06,0.1,-10139909.04798336,8784.0,5940,,
52211080,52212096,105219,5.140004553734061e-05,496,5.467388325541833e-06,0.1,-10341202.88629504,8784.0,5944,,
52246220,52247232,105290,5.130003415300546e-05,496,7.044950439194508e-06,0.1,-10052212.758079989,8784.0,5948,,
52263780,52264800,,5.125005692167577e-05,,5.96219456383551e-06,0.1,,,,8784.0,-6024270.176527
52281360,52282368,105405,5.120002276867031e-05,496,5.925666130224272e-06,0.1,-9990872.856561089,8784.0,5952,,
52316500,52317504,105476,5.1100011384335154e-05,496,5.832849876696855e-06,0.1,-9624556.03316496,8784.0,5956,,
52351620,52352640,105548,5.1000056921675774e-05,496,6.236847536911228e-06,0.1,-9661519.67818057,8784.0,5960,,
52386760,52387776,105619,5.0900045537340626e-05,496,5.310682558956614e-06,0.1,-9628141.42645432,8784.0,5964,,
52421900,52422912,105690,5.080003415300547e-05,496,7.211119680050615e-06,0.1,-9565762.003084531,8784.0,5968,,
52457040,52458048,105762,5.070002276867032e-05,495,5.783868732578412e-06,0.1,-9457521.99702575,8784.0,5972,,
52492180,52493184,105833,5.060001138433517e-05,495,3.994608346147288e-06,0.1,-9334530.002058249,8784.0,5976,,
52527300,52528320,105904,5.050005692167579e-05,495,5.533483135877759e-06,0.1,-9409427.14907155,8784.0,5980,,
52562440,52563456,105976,5.0400045537340614e-05,495,5.166374103282579e-06,0.1,-9241638.45711175,8784.0,5984,,
52597580,52598592,106047,5.030003415300546e-05,495,5.450360106351582e-06,0.1,-9260928.56030308,8784.0,5988,,
52632720,52633728,106118,5.0200022768670305e-05,495,5.039000700435281e-06,0.1,-9282007.236272592,8784.0,5992,,
52667860,52668864,106190,5.010001138433516e-05,495,5.4290989851324415e-06,0.1,-9145839.564801639,8784.0,5996,,
52702980,52704000,,5.0000056921675776e-05,,5.6700403774812004e-06,0.1,,,,8784.0,-5924755.765366199
,52704000,106304,,495,,0.1,-9436118.62173715,8784.0,6000,,
52738120,52739136,106376,4.990004553734062e-05,495,5.493247056165274e-06,0.1,-9435290.37557887,8784.0,6004,,
52773260,52774272,106447,4.980003415300547e-05,495,5.292429636938323e-06,0.1,-9360482.59835018,8784.0,6008,,
52808400,52809408,106519,4.970002276867032e-05,495,6.443129939270875e-06,0.1,-9723476.44532711,8784.0,6012,,
52843540,52844544,106595,4.9600011384335165e-05,495,7.332842301366327e-06,0.1,-9549189.8145336,8784.0,6016,,
52878660,52879680,106666,4.9500056921675785e-05,495,6.708074920425133e-06,0.1,-9259126.38877717,8784.0,6020,,
52913800,52914816,106736,4.940004553734061e-05,495,4.937401979532297e-06,0.1,-9306752.87307819,8784.0,6024,,
52948940,52949952,106807,4.930003415300546e-05,495,5.334052559646807e-06,0.1,-9151466.977281759,8784.0,6028,,
52984080,52985088,106877,4.920002276867031e-05,495,4.697253496033227e-06,0.1,-9323653.51466649,8784.0,6032,,
53019220,53020224,106948,4.910001138433515e-05,495,5.019250193072367e-06,0.1,-9423156.836256221,8784.0,6036,,
53054340,53055360,107018,4.900005692167577e-05,495,1.1375542408131878e-05,0.1,-9595185.75501943,8784.0,6040,,
53089480,53090496,107089,4.8900045537340625e-05,495,6.772114591058198e-06,0.1,-9322587.269927299,8784.0,6044,,
53124620,53125632,107159,4.880003415300547e-05,495,6.058383360141306e-06,0.1,-9539889.9740508,8784.0,6048,,
53142180,53143200,,4.875005692167578e-05,,5.546736053929635e-06,0.1,,,,8784.0,-6102192.2267732
53159760,53160768,107273,4.8700022768670316e-05,495,4.55540463235593e-06,0.1,-9558107.745491559,8784.0,6052,,
53194900,53195904,107343,4.860001138433517e-05,495,5.539307426261075e-06,0.1,-9581423.59741736,8784.0,6056,,
